boro,block,lot,issue_date,house_number,street,violation_category,violation_type,date_collected
4,01447,00047,2024-01-02,34-51,86 STREET,V-DOB VIOLATION - ACTIVE,LANDMK-LANDMARK                                                        NONE,2025-04-10
4,11744,00054,2024-01-02,133 30,123 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,11757,00014,2024-01-02,121-67GAR,133 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,02442,00001,2024-01-03,373,WYTHE AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,03148,00017,2024-01-03,114,FORREST STREET,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,03411,00040,2024-01-03,544,WILSON AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,04629,00005,2024-01-03,1054,WINTHROP STREET,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,04665,00071,2024-01-03,407,REMSEN AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,04810,00003,2024-01-03,629,NEW YORK AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,05084,00084,2024-01-03,123,LINDEN BOULEVARD,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,05328,00037,2024-01-03,178,OCEAN PARKWAY,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,05755,00009,2024-01-03,6503,14 AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,07315,00073,2024-01-03,2337,CONEY ISLAND AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,08764,00010,2024-01-03,2750,HOMECREST AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,00295,00029,2024-01-03,364,HENRY STREET,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,02706,00023,2024-01-03,673,MEEKER AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,00160,00029,2024-01-03,43-06,46 STREET,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,01199,00020,2024-01-03,34-43,60 STREET,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,05185,00054,2024-01-03,140-65,BEECH AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,07013,00075,2024-01-03,176-19,77 ROAD,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,11744,00054,2024-01-03,133-30,123 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,12807,00003,2024-01-03,120-39,222 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,03322,00024,2024-01-03,118-60,METROPOLITAN AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,05101,00061,2024-01-03,132-25,MAPLE AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,04978,07501,2024-01-03,38-19,MAIN STREET,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,05101,00061,2024-01-03,132-45,MAPLE AVENUE,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
4,06245,00027,2024-01-03,38-42 REAR,216 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,00531,00007,2024-01-03,14-41,BROADWAY,V-DOB VIOLATION - ACTIVE,AEUHAZ1-FAIL TO CERTIFY CLASS 1                                         NONE,2025-04-10
3,01002,00055,2024-01-04,143,9 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,01319,00061,2024-01-04,205,LEFFERTS AVENUE,V-DOB VIOLATION - ACTIVE,LANDMK-LANDMARK                                                        NONE,2025-04-10
3,01459,00062,2024-01-04,1857,PROSPECT PLACE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,05512,00016,2024-01-04,1826,59 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,05512,00016,2024-01-04,1826,59 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,07064,00016,2024-01-04,1301,SURF AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,08764,00010,2024-01-04,2750,HOMECREST AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,01582,00009,2024-01-04,874,BROADWAY,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,01582,00009,2024-01-04,1,LEWIS AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,00953,00026,2024-01-05,44,BERKELEY PLACE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,01838,00036,2024-01-05,216,HANCOCK STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,03988,00035,2024-01-05,777,GLENMORE AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,04492,00004,2024-01-05,2784,LINDEN BOULEVARD,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,07064,00028,2024-01-05,1319,SURF AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,07064,00031,2024-01-05,1323,SURF AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,07064,00032,2024-01-05,1329,SURF AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,07064,00037,2024-01-05,2931,WEST 15 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,07064,00027,2024-01-05,1315,SURF AVENUE,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,07064,00045,2024-01-05,2905,WEST 15 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,11056,00032,2024-01-05,115-56,191 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,12293,00055,2024-01-05,134-29,154 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,12293,00050,2024-01-05,134-33,154 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,12293,00050,2024-01-05,134-33,154 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,00598,00061,2024-01-06,25-92,31 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,01493,00003,2024-01-06,40-07,82 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,01002,00056,2024-01-08,141,9 STREET,V-DOB VIOLATION - ACTIVE,UB-UNSAFE BUILDINGS                                                NONE,2025-04-10
3,05395,00008,2024-01-08,634,E 2ND ST,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,2025-04-10
3,05887,00006,2024-01-08,7101,SHORE ROAD,V-DOB VIOLATION - ACTIVE,E-ELEVATOR                                                        ELEVATORREQUIRED,2025-04-10
3,06796,00067,2024-01-08,1749,E 13TH ST,V*-DOB VIOLATION - Resolved,E-ELEVATOR                                                        ELEVATORREQUIRED,2025-04-10
3,07649,00026,2024-01-08,1247,EAST 31 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
3,06712,00014,2024-01-08,1005 GAR,EAST 19 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,01279,00035,2024-01-08,79-13,37 AVENUE,V-DOB VIOLATION - ACTIVE,LANDMK-LANDMARK                                                        NONE,2025-04-10
4,01433,00003,2024-01-08,85-10,NORTHERN BOULEVARD,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,01433,00003,2024-01-08,85-10,NORTHERN BOULEVARD,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,07202,00065,2024-01-08,75-35,185 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
4,01369,00054,2024-01-08,25-21 GAR,95 STREET,V-DOB VIOLATION - ACTIVE,C-CONSTRUCTION                                                    OTHER   OPTIONAL,2025-04-10
